0 0 121
1 0 177
2 0 57
3 0 211
4 0 149
5 0 62
6 0 13
7 0 154
8 0 96
9 0 14
10 0 71
11 0 6
12 0 130
13 0 242
14 0 94
15 0 145
16 0 112
17 0 224
18 0 208
19 0 32
20 0 234
21 0 133
22 0 147
23 0 17
24 0 164
25 0 151
26 0 212
27 0 108

0 1 125
1 1 48
2 1 171
3 1 192
4 1 83
5 1 27
6 1 29
7 1 52
8 1 235
9 1 12
10 1 109
11 1 142
12 1 64
13 1 241
14 1 87
15 1 220
16 1 1
17 1 120
18 1 224
19 1 209
20 1 188
21 1 75
22 1 196
23 1 63
24 1 247
25 1 156
26 1 84
27 1 230

0 2 55
1 2 97
2 2 208
3 2 165
4 2 0
5 2 226
6 2 18
7 2 148
8 2 242
9 2 237
10 2 201
11 2 170
12 2 48
13 2 28
14 2 51
15 2 38
16 2 144
17 2 245
18 2 155
19 2 200
20 2 126
21 2 211
22 2 30
23 2 181
24 2 216
25 2 95
26 2 178
27 2 90

0 3 200
1 3 197
2 3 239
3 3 223
4 3 174
5 3 16
6 3 171
7 3 200
8 3 130
9 3 121
10 3 200
11 3 242
12 3 248
13 3 74
14 3 181
15 3 63
16 3 73
17 3 97
18 3 116
19 3 142
20 3 71
21 3 255
22 3 88
23 3 126
24 3 240
25 3 18
26 3 230
27 3 89

0 4 235
1 4 9
2 4 161
3 4 168
4 4 98
5 4 194
6 4 92
7 4 207
8 4 132
9 4 19
10 4 252
11 4 97
12 4 95
13 4 241
14 4 19
15 4 119
16 4 93
17 4 17
18 4 132
19 4 214
20 4 212
21 4 82
22 4 89
23 4 124
24 4 103
25 4 11
26 4 255
27 4 115

0 5 40
1 5 62
2 5 149
3 5 119
4 5 112
5 5 9
6 5 159
7 5 148
8 5 142
9 5 164
10 5 222
11 5 34
12 5 109
13 5 192
14 5 195
15 5 105
16 5 170
17 5 125
18 5 73
19 5 168
20 5 124
21 5 213
22 5 83
23 5 200
24 5 162
25 5 207
26 5 185
27 5 0

0 6 47
1 6 58
2 6 209
3 6 163
4 6 88
5 6 34
6 6 40
7 6 245
8 6 246
9 6 144
10 6 155
11 6 221
12 6 111
13 6 42
14 6 179
15 6 247
16 6 133
17 6 77
18 6 74
19 6 172
20 6 8
21 6 185
22 6 221
23 6 95
24 6 6
25 6 143
26 6 80
27 6 34

0 7 201
1 7 24
2 7 170
3 7 221
4 7 23
5 7 150
6 7 78
7 7 92
8 7 149
9 7 122
10 7 253
11 7 239
12 7 51
13 7 226
14 7 101
15 7 149
16 7 146
17 7 250
18 7 27
19 7 177
20 7 24
21 7 117
22 7 33
23 7 247
24 7 30
25 7 58
26 7 225
27 7 170

0 8 32
1 8 127
2 8 200
3 8 149
4 8 111
5 8 117
6 8 125
7 8 151
8 8 178
9 8 54
10 8 162
11 8 4
12 8 77
13 8 168
14 8 81
15 8 143
16 8 51
17 8 201
18 8 194
19 8 242
20 8 252
21 8 8
